group,actor,recipient,category,start,stop,duration
GH010861,11,10,quiver,8636,8674,39
GH010861,11,10,none,8675,8990,316
GH010861,11,12,none,0,8990,8991
GH010861,11,13,none,0,8990,8991
GH010861,11,14,none,0,3553,3554
GH010861,11,14,dart_bite,3554,3621,68
GH010861,11,14,none,3622,6750,3129
GH010861,11,14,lateral_display,6751,6780,30
GH010861,11,14,none,6781,7290,510
GH010861,11,2,none,0,8990,8991
GH010861,11,3,none,0,1315,1316
GH010861,11,3,frontal_display,1316,1385,70
GH010861,11,3,none,1386,2673,1288
GH010861,11,3,dart_bite,2674,2734,61
GH010861,11,3,none,2735,3045,311
GH010861,11,3,frontal_display,3046,3084,39
GH010861,11,3,none,3085,7688,4604
GH010861,11,3,approach,7689,7726,38
GH010861,11,3,none,7727,8990,1264
GH010861,11,4,none,0,351,352
GH010861,11,4,approach,352,353,2
GH010861,11,4,frontal_display,354,408,55
GH010861,11,4,approach,409,416,8
GH010861,11,4,none,417,489,73
GH010861,11,4,dart_bite,490,556,67
GH010861,11,4,none,557,4568,4012
GH010861,11,4,approach,4569,4644,76
GH010861,11,4,none,4645,8990,4346
GH010861,11,5,none,0,1695,1696
GH010861,11,5,approach,1696,1764,69
GH010861,11,5,none,1765,1970,206
GH010861,11,5,approach,1971,2061,91
GH010861,11,5,none,2062,8990,6929
GH010861,11,6,none,0,146,147
GH010861,11,6,frontal_display,147,199,53
GH010861,11,6,none,200,1538,1339
GH010861,11,6,frontal_display,1539,1569,31
GH010861,11,6,none,1570,1628,59
GH010861,11,6,frontal_display,1629,1666,38
GH010861,11,6,none,1667,8990,7324
GH010861,11,7,none,0,8990,8991
GH010861,11,8,none,0,8990,8991
GH010861,11,9,none,0,985,986
GH010861,11,9,dart_bite,986,1016,31
GH010861,11,9,none,1017,5030,4014
GH010861,11,9,dart_bite,5031,5061,31
GH010861,11,9,none,5062,6303,1242
GH010861,11,9,dart_bite,6304,6330,27
GH010861,11,9,none,6331,6333,3
GH010861,11,9,dart_bite,6334,6349,16
GH010861,11,9,none,6350,6363,14
GH010861,11,9,dart_bite,6364,6409,46
GH010861,11,9,none,6410,8990,2581
GH010861,12,0,none,0,8990,8991
GH010861,12,1,none,0,8990,8991
GH010861,12,10,none,0,8990,8991
GH010861,12,11,none,0,8990,8991
GH010861,12,13,none,0,1188,1189
GH010861,12,13,frontal_display,1189,1264,76
GH010861,12,13,none,1265,8990,7726
GH010861,12,14,none,0,7290,7291
GH010861,12,2,none,0,8990,8991
GH010861,12,3,none,0,8990,8991
GH010861,12,4,none,0,8990,8991
GH010861,12,5,none,0,2515,2516
GH010861,12,5,dart_bite,2516,2569,54
GH010861,12,5,none,2570,8990,6421
GH010861,12,6,none,0,8990,8991
GH010861,12,7,none,0,8990,8991
GH010861,12,8,none,0,8990,8991
GH010861,12,9,none,0,8990,8991
GH010861,13,0,none,0,8990,8991
GH010861,13,1,none,0,8990,8991
GH010861,13,10,none,0,8990,8991
GH010861,13,11,none,0,8990,8991
GH010861,13,12,none,0,1684,1685
GH010861,13,12,frontal_display,1685,1734,50
GH010861,13,12,none,1735,4228,2494
GH010861,13,12,frontal_display,4229,4274,46
GH010861,13,12,none,4275,8990,4716
GH010861,13,14,none,0,7290,7291
GH010861,13,2,none,0,8990,8991
GH010861,13,3,none,0,8990,8991
GH010861,13,4,none,0,8990,8991
GH010861,13,5,none,0,4810,4811
GH010861,13,5,lateral_display,4811,4864,54
GH010861,13,5,none,4865,4923,59
GH010861,13,5,approach,4924,4961,38
GH010861,13,5,none,4962,7258,2297
GH010861,13,5,lateral_display,7259,7341,83
GH010861,13,5,none,7342,8990,1649
GH010861,13,6,none,0,8990,8991
GH010861,13,7,none,0,853,854
GH010861,13,7,frontal_display,854,901,48
GH010861,13,7,none,902,8990,8089
GH010861,13,8,none,0,8990,8991
GH010861,13,9,none,0,3963,3964
GH010861,13,9,frontal_display,3964,4024,61
GH010861,13,9,none,4025,6235,2211
GH010861,13,9,dart_bite,6236,6296,61
GH010861,13,9,none,6297,6440,144
GH010861,13,9,frontal_display,6441,6521,81
GH010861,13,9,none,6522,8990,2469
GH010861,14,0,none,0,7290,7291
GH010861,14,1,none,0,7290,7291
GH010861,14,10,none,0,7290,7291
GH010861,14,11,none,0,6848,6849
GH010861,14,11,frontal_display,6849,6923,75
GH010861,14,11,none,6924,7290,367
GH010861,14,12,none,0,7290,7291
GH010861,14,13,none,0,7290,7291
GH010861,14,2,none,0,7290,7291
GH010861,14,3,none,0,7290,7291
GH010861,14,4,none,0,6840,6841
GH010861,14,4,frontal_display,6841,6848,8
GH010861,14,4,none,6849,7290,442
GH010861,14,5,none,0,7290,7291
GH010861,14,6,none,0,7290,7291
GH010861,14,7,none,0,7290,7291
GH010861,14,8,none,0,7290,7291
GH010861,14,9,none,0,7290,7291
GH010861,2,0,none,0,3945,3946
GH010861,2,0,frontal_display,3946,3991,46
GH010861,2,0,none,3992,8990,4999
GH010861,2,1,none,0,8990,8991
GH010861,2,10,none,0,8990,8991
GH010861,2,11,none,0,8990,8991
GH010861,2,12,none,0,8990,8991
GH010861,2,13,none,0,8990,8991
GH010861,2,14,none,0,7290,7291
GH010861,2,3,none,0,4893,4894
GH010861,2,3,frontal_display,4894,4954,61
GH010861,2,3,none,4955,8990,4036
GH010861,2,4,none,0,48,49
GH010861,2,4,quiver,49,80,32
GH010861,2,4,none,81,1415,1335
GH010861,2,4,frontal_display,1416,1454,39
GH010861,2,4,none,1455,2075,621
GH010861,2,4,chase,2076,2121,46
GH010861,2,4,none,2122,7653,5532
GH010861,2,4,quiver,7654,7681,28
GH010861,2,4,none,7682,8990,1309
GH010861,2,5,none,0,8990,8991
GH010861,2,6,none,0,8990,8991
GH010861,2,7,none,0,8990,8991
GH010861,2,8,none,0,8990,8991
GH010861,2,9,none,0,8990,8991
GH010861,3,0,none,0,8990,8991
GH010861,3,1,none,0,8990,8991
GH010861,3,10,none,0,8990,8991
GH010861,3,11,none,0,8990,8991
GH010861,3,12,none,0,8990,8991
GH010861,3,13,none,0,8990,8991
GH010861,3,14,none,0,6340,6341
GH010861,3,14,dart_bite,6341,6409,69
GH010861,3,14,none,6410,7290,881
GH010861,3,2,none,0,4408,4409
GH010861,3,2,frontal_display,4409,4446,38
GH010861,3,2,none,4447,8643,4197
GH010861,3,2,frontal_display,8644,8681,38
GH010861,3,2,none,8682,8990,309
GH010861,3,4,none,0,7750,7751
GH010861,3,4,lateral_display,7751,7811,61
GH010861,3,4,none,7812,8990,1179
GH010861,3,5,none,0,8990,8991
GH010861,3,6,none,0,8990,8991
GH010861,3,7,none,0,8990,8991
GH010861,3,8,none,0,8990,8991
GH010861,3,9,none,0,8990,8991
GH010861,4,0,none,0,2270,2271
GH010861,4,0,dart_bite,2271,2304,34
GH010861,4,0,none,2305,8990,6686
GH010861,4,1,none,0,2666,2667
GH010861,4,1,lateral_display,2667,2704,38
GH010861,4,1,none,2705,8453,5749
GH010861,4,1,frontal_display,8454,8486,33
