group,actor,recipient,category,start,stop
1,resident,intruder,none,2275,2321
1,resident,intruder,investigation,2322,2370
1,resident,intruder,none,2371,2463
1,resident,intruder,investigation,2464,2469
1,resident,intruder,none,2470,2508
1,resident,intruder,investigation,2509,2539
1,resident,intruder,none,2540,2662
1,resident,intruder,investigation,2663,2673
1,resident,intruder,none,2674,2702
1,resident,intruder,investigation,2703,2813
1,resident,intruder,none,2814,2917
1,resident,intruder,investigation,2918,2925
1,resident,intruder,none,2926,2949
1,resident,intruder,investigation,2950,2960
1,resident,intruder,none,2961,3063
1,resident,intruder,investigation,3064,3068
1,resident,intruder,none,3069,3207
1,resident,intruder,investigation,3208,3237
1,resident,intruder,none,3238,3449
1,resident,intruder,investigation,3450,3458
1,resident,intruder,none,3459,3564
1,resident,intruder,investigation,3565,3596
1,resident,intruder,none,3597,3679
1,resident,intruder,investigation,3680,3686
1,resident,intruder,none,3687,3711
1,resident,intruder,investigation,3712,3740
1,resident,intruder,none,3741,4182
1,resident,intruder,investigation,4183,4385
1,resident,intruder,none,4386,4454
1,resident,intruder,investigation,4455,4468
1,resident,intruder,none,4469,4508
1,resident,intruder,investigation,4509,4645
1,resident,intruder,none,4646,4693
1,resident,intruder,investigation,4694,4707
1,resident,intruder,none,4708,5034
1,resident,intruder,investigation,5035,5049
1,resident,intruder,none,5050,5079
1,resident,intruder,investigation,5080,5092
1,resident,intruder,none,5093,5142
1,resident,intruder,investigation,5143,5166
1,resident,intruder,none,5167,5467
1,resident,intruder,investigation,5468,5492
1,resident,intruder,none,5493,5550
1,resident,intruder,investigation,5551,5591
1,resident,intruder,none,5592,5600
1,resident,intruder,investigation,5601,5679
1,resident,intruder,none,5680,5711
1,resident,intruder,investigation,5712,5897
1,resident,intruder,attack,5898,5948
1,resident,intruder,none,5949,6008
1,resident,intruder,investigation,6009,6021
1,resident,intruder,attack,6022,6083
1,resident,intruder,none,6084,6108
1,resident,intruder,investigation,6109,6114
1,resident,intruder,attack,6115,6152
1,resident,intruder,none,6153,6168
1,resident,intruder,investigation,6169,6169
1,resident,intruder,attack,6170,6181
1,resident,intruder,none,6182,6203
1,resident,intruder,investigation,6204,6211
1,resident,intruder,attack,6212,6263
1,resident,intruder,none,6264,6272
1,resident,intruder,attack,6273,6281
1,resident,intruder,none,6282,6285
1,resident,intruder,attack,6286,6302
1,resident,intruder,none,6303,6330
1,resident,intruder,investigation,6331,6337
1,resident,intruder,attack,6338,6353
1,resident,intruder,none,6354,6411
1,resident,intruder,investigation,6412,6427
1,resident,intruder,none,6428,6487
1,resident,intruder,investigation,6488,6496
1,resident,intruder,attack,6497,6521
1,resident,intruder,none,6522,6583
1,resident,intruder,investigation,6584,6592
1,resident,intruder,attack,6593,6633
1,resident,intruder,none,6634,6645
1,resident,intruder,investigation,6646,6650
1,resident,intruder,attack,6651,6661
1,resident,intruder,none,6662,6694
1,resident,intruder,investigation,6695,6701
1,resident,intruder,attack,6702,6750
1,resident,intruder,none,6751,6772
1,resident,intruder,investigation,6773,6789
1,resident,intruder,attack,6790,6834
1,resident,intruder,none,6835,7163
1,resident,intruder,investigation,7164,7173
1,resident,intruder,none,7174,7219
1,resident,intruder,investigation,7220,7229
1,resident,intruder,none,7230,7459
1,resident,intruder,investigation,7460,7487
1,resident,intruder,none,7488,7561
1,resident,intruder,investigation,7562,7584
1,resident,intruder,none,7585,7978
1,resident,intruder,investigation,7979,8189
1,resident,intruder,none,8190,8304
1,resident,intruder,investigation,8305,8412
1,resident,intruder,none,8413,8734
1,resident,intruder,investigation,8735,8787
1,resident,intruder,none,8788,9139
1,resident,intruder,investigation,9140,9282
1,resident,intruder,none,9283,9316
1,resident,intruder,investigation,9317,9358
1,resident,intruder,attack,9359,9563
1,resident,intruder,investigation,9564,9572
1,resident,intruder,none,9573,9647
1,resident,intruder,investigation,9648,9732
1,resident,intruder,attack,9733,9830
1,resident,intruder,investigation,9831,9850
1,resident,intruder,none,9851,9899
1,resident,intruder,investigation,9900,9908
1,resident,intruder,attack,9909,9957
1,resident,intruder,none,9958,9977
1,resident,intruder,investigation,9978,9986
1,resident,intruder,attack,9987,10028
1,resident,intruder,none,10029,10081
1,resident,intruder,investigation,10082,10087
1,resident,intruder,attack,10088,10104
1,resident,intruder,none,10105,10121
1,resident,intruder,investigation,10122,10124
1,resident,intruder,attack,10125,10157
1,resident,intruder,none,10158,10171
1,resident,intruder,investigation,10172,10190
1,resident,intruder,none,10191,10231
1,resident,intruder,investigation,10232,10245
1,resident,intruder,attack,10246,10264
1,resident,intruder,none,10265,10290
1,resident,intruder,investigation,10291,10314
1,resident,intruder,none,10315,10430
1,resident,intruder,investigation,10431,10460
1,resident,intruder,attack,10461,10469
1,resident,intruder,none,10470,10482
1,resident,intruder,investigation,10483,10486
1,resident,intruder,attack,10487,10561
1,resident,intruder,none,10562,10578
1,resident,intruder,investigation,10579,10583
1,resident,intruder,attack,10584,10588
1,resident,intruder,none,10589,10590
1,resident,intruder,investigation,10591,10598
1,resident,intruder,attack,10599,10616
1,resident,intruder,none,10617,10629
1,resident,intruder,investigation,10630,10650
1,resident,intruder,attack,10651,10659
1,resident,intruder,investigation,10660,10666
1,resident,intruder,attack,10667,10672
1,resident,intruder,none,10673,10721
1,resident,intruder,investigation,10722,10741
1,resident,intruder,attack,10742,10822
1,resident,intruder,none,10823,10847
1,resident,intruder,investigation,10848,10854
1,resident,intruder,attack,10855,10863
1,resident,intruder,investigation,10864,10879
1,resident,intruder,none,10880,10921
1,resident,intruder,investigation,10922,10946
1,resident,intruder,attack,10947,10962
1,resident,intruder,none,10963,10980
1,resident,intruder,investigation,10981,11021
1,resident,intruder,attack,11022,11041
1,resident,intruder,none,11042,11047
1,resident,intruder,investigation,11048,11053
1,resident,intruder,none,11054,11110
1,resident,intruder,investigation,11111,11121
1,resident,intruder,attack,11122,11194
1,resident,intruder,none,11195,11208
1,resident,intruder,investigation,11209,11252
1,resident,intruder,none,11253,11277
1,resident,intruder,investigation,11278,11363
1,resident,intruder,none,11364,11583
1,resident,intruder,investigation,11584,11613
1,resident,intruder,none,11614,11832
1,resident,intruder,investigation,11833,11867
1,resident,intruder,none,11868,11931
1,resident,intruder,investigation,11932,12011
1,resident,intruder,none,12012,12040
1,resident,intruder,investigation,12041,12057
1,resident,intruder,none,12058,12508
1,resident,intruder,investigation,12509,12529
1,resident,intruder,none,12530,12563
1,resident,intruder,investigation,12564,12596
1,resident,intruder,none,12597,12618
1,resident,intruder,investigation,12619,12630
1,resident,intruder,none,12631,13127
1,resident,intruder,investigation,13128,13196
1,resident,intruder,none,13197,13534
1,resident,intruder,investigation,13535,13561
1,resident,intruder,none,13562,13859
1,resident,intruder,investigation,13860,13876
1,resident,intruder,none,13877,14178
1,resident,intruder,investigation,14179,14194
1,resident,intruder,none,14195,14237
1,resident,intruder,investigation,14238,14257
1,resident,intruder,none,14258,14753
1,resident,intruder,investigation,14754,14769
1,resident,intruder,none,14770,14942
1,resident,intruder,investigation,14943,14962
1,resident,intruder,none,14963,15161
1,resident,intruder,investigation,15162,15173
1,resident,intruder,none,15174,15223
1,resident,intruder,investigation,15224,15266
1,resident,intruder,none,15267,15314
1,resident,intruder,investigation,15315,15347
1,resident,intruder,none,15348,15372
1,resident,intruder,investigation,15373,15382
1,resident,intruder,none,15383,15810
1,resident,intruder,investigation,15811,15823
1,resident,intruder,none,15824,15869
1,resident,intruder,investigation,15870,15896
1,resident,intruder,none,15897,15999
1,resident,intruder,investigation,16000,16023
1,resident,intruder,none,16024,16239
1,resident,intruder,investigation,16240,16261
1,resident,intruder,none,16262,16652
1,resident,intruder,investigation,16653,16771
1,resident,intruder,none,16772,17575
1,resident,intruder,investigation,17576,17640
1,resident,intruder,none,17641,17659
1,resident,intruder,investigation,17660,17784
1,resident,intruder,none,17785,17820
1,resident,intruder,investigation,17821,17835
1,resident,intruder,attack,17836,17845
1,resident,intruder,none,17846,17880
1,resident,intruder,investigation,17881,17885
1,resident,intruder,attack,17886,17936
1,resident,intruder,none,17937,17945
1,resident,intruder,investigation,17946,17972
1,resident,intruder,attack,17973,17984
1,resident,intruder,none,17985,18023
1,resident,intruder,investigation,18024,18026
1,resident,intruder,attack,18027,18049
1,resident,intruder,none,18050,18069
1,resident,intruder,investigation,18070,18074
1,resident,intruder,attack,18075,18120
1,resident,intruder,none,18121,18142
1,resident,intruder,investigation,18143,18148
1,resident,intruder,attack,18149,18160
1,resident,intruder,none,18161,18321
1,resident,intruder,investigation,18322,18353
1,resident,intruder,attack,18354,18428
1,resident,intruder,none,18429,18437
1,resident,intruder,investigation,18438,18442
1,resident,intruder,attack,18443,18459
1,resident,intruder,none,18460,18629
1,resident,intruder,investigation,18630,18685
1,resident,intruder,attack,18686,18703
1,resident,intruder,none,18704,18709
1,resident,intruder,investigation,18710,18713
1,resident,intruder,attack,18714,18728
1,resident,intruder,none,18729,18751
1,resident,intruder,investigation,18752,18758
1,resident,intruder,attack,18759,18791
1,resident,intruder,none,18792,18797
1,resident,intruder,investigation,18798,18823
1,resident,intruder,attack,18824,18840
1,resident,intruder,none,18841,18855
1,resident,intruder,investigation,18856,18858
1,resident,intruder,none,18859,18869
1,resident,intruder,investigation,18870,18873
1,resident,intruder,attack,18874,18906
1,resident,intruder,none,18907,18925
1,resident,intruder,investigation,18926,18930
1,resident,intruder,attack,18931,18958
1,resident,intruder,none,18959,18987
1,resident,intruder,investigation,18988,19008
1,resident,intruder,none,19009,19021
1,resident,intruder,investigation,19022,19037
1,resident,intruder,none,19038,19155
1,resident,intruder,investigation,19156,19161
1,resident,intruder,none,19162,19227
1,resident,intruder,investigation,19228,19230
1,resident,intruder,none,19231,19342
2,intruder,resident,none,0,13221
2,resident,intruder,none,0,5
2,resident,intruder,investigation,6,92
2,resident,intruder,none,93,172
2,resident,intruder,investigation,173,257
2,resident,intruder,none,258,344
2,resident,intruder,investigation,345,386
2,resident,intruder,none,387,468
2,resident,intruder,investigation,469,652
2,resident,intruder,none,653,728
2,resident,intruder,investigation,729,780
2,resident,intruder,none,781,893
2,resident,intruder,investigation,894,906
2,resident,intruder,none,907,1020
2,resident,intruder,investigation,1021,1041
2,resident,intruder,none,1042,1302
2,resident,intruder,investigation,1303,1328
2,resident,intruder,none,1329,1374
2,resident,intruder,investigation,1375,1444
2,resident,intruder,none,1445,1512
2,resident,intruder,investigation,1513,1519
2,resident,intruder,none,1520,1661
2,resident,intruder,investigation,1662,1673
2,resident,intruder,none,1674,1707
2,resident,intruder,investigation,1708,1734
2,resident,intruder,none,1735,1751
2,resident,intruder,investigation,1752,1784
2,resident,intruder,mount,1785,1898
2,resident,intruder,investigation,1899,1927
2,resident,intruder,none,1928,1979
2,resident,intruder,investigation,1980,2009
2,resident,intruder,mount,2010,2062
2,resident,intruder,none,2063,2382
2,resident,intruder,investigation,2383,2433
2,resident,intruder,none,2434,2662
2,resident,intruder,investigation,2663,2699
2,resident,intruder,none,2700,2890
2,resident,intruder,investigation,2891,2918
2,resident,intruder,mount,2919,3012
2,resident,intruder,investigation,3013,3041
2,resident,intruder,none,3042,3123
2,resident,intruder,investigation,3124,3151
2,resident,intruder,mount,3152,3306
2,resident,intruder,none,3307,3702
2,resident,intruder,investigation,3703,3728
2,resident,intruder,mount,3729,3811
2,resident,intruder,investigation,3812,3846
2,resident,intruder,none,3847,4409
2,resident,intruder,investigation,4410,4491
2,resident,intruder,none,4492,5981
2,resident,intruder,investigation,5982,6006
2,resident,intruder,mount,6007,6065
2,resident,intruder,none,6066,6504
2,resident,intruder,investigation,6505,6621
2,resident,intruder,none,6622,7072
2,resident,intruder,investigation,7073,7095
2,resident,intruder,none,7096,7727
2,resident,intruder,investigation,7728,7756
2,resident,intruder,mount,7757,7906
2,resident,intruder,investigation,7907,7929
2,resident,intruder,none,7930,8066
2,resident,intruder,investigation,8067,8073
2,resident,intruder,none,8074,8412
2,resident,intruder,investigation,8413,8438
2,resident,intruder,none,8439,8626
2,resident,intruder,investigation,8627,8677
2,resident,intruder,none,8678,8721
2,resident,intruder,investigation,8722,8988
2,resident,intruder,none,8989,9120
2,resident,intruder,investigation,9121,9135
2,resident,intruder,mount,9136,9687
2,resident,intruder,none,9688,10598
2,resident,intruder,investigation,10599,10617
2,resident,intruder,mount,10618,10699
2,resident,intruder,investigation,10700,10796
2,resident,intruder,mount,10797,11125
2,resident,intruder,none,11126,11190
2,resident,intruder,investigation,11191,11209
2,resident,intruder,none,11210,11939
2,resident,intruder,investigation,11940,11963
2,resident,intruder,mount,11964,12033
2,resident,intruder,investigation,12034,12057
2,resident,intruder,none,12058,12960
2,resident,intruder,investigation,12961,12979
2,resident,intruder,none,12980,13221
3,intruder,resident,none,0,7432
3,resident,intruder,none,0,34
3,resident,intruder,investigation,35,85
3,resident,intruder,none,86,117
3,resident,intruder,investigation,118,137
3,resident,intruder,none,138,391
3,resident,intruder,investigation,392,482
3,resident,intruder,none,483,819
3,resident,intruder,investigation,820,829
3,resident,intruder,none,830,1087
3,resident,intruder,investigation,1088,1132
3,resident,intruder,none,1133,1211
3,resident,intruder,investigation,1212,1249
3,resident,intruder,mount,1250,1407
3,resident,intruder,none,1408,1669
3,resident,intruder,investigation,1670,1698
3,resident,intruder,mount,1699,1745
3,resident,intruder,none,1746,2117
3,resident,intruder,investigation,2118,2135
3,resident,intruder,mount,2136,2196
3,resident,intruder,none,2197,2247
3,resident,intruder,investigation,2248,2262
3,resident,intruder,none,2263,2718
3,resident,intruder,investigation,2719,2734
3,resident,intruder,mount,2735,2797
3,resident,intruder,none,2798,3246
3,resident,intruder,investigation,3247,3638
3,resident,intruder,none,3639,4148
3,resident,intruder,investigation,4149,4163
3,resident,intruder,mount,4164,4212
3,resident,intruder,investigation,4213,4261
3,resident,intruder,none,4262,4639
3,resident,intruder,investigation,4640,4727
3,resident,intruder,none,4728,5199
3,resident,intruder,investigation,5200,5230
3,resident,intruder,none,5231,5701
3,resident,intruder,investigation,5702,5721
3,resident,intruder,mount,5722,5778
3,resident,intruder,investigation,5779,5800
3,resident,intruder,mount,5801,5828
3,resident,intruder,investigation,5829,5843
3,resident,intruder,mount,5844,5871
3,resident,intruder,none,5872,6277
3,resident,intruder,investigation,6278,6322
3,resident,intruder,mount,6323,6379
3,resident,intruder,none,6380,6535
3,resident,intruder,investigation,6536,6571
3,resident,intruder,mount,6572,6598
3,resident,intruder,none,6599,6776
3,resident,intruder,investigation,6777,6930
3,resident,intruder,none,6931,7101
3,resident,intruder,investigation,7102,7123
3,resident,intruder,none,7124,7432
4,intruder,resident,none,0,5640
4,resident,intruder,none,0,62
4,resident,intruder,investigation,63,78
4,resident,intruder,attack,79,95
4,resident,intruder,none,96,191
4,resident,intruder,investigation,192,196
4,resident,intruder,none,197,225
4,resident,intruder,investigation,226,250
4,resident,intruder,attack,251,346
4,resident,intruder,none,347,735
4,resident,intruder,attack,736,900
4,resident,intruder,investigation,901,933
4,resident,intruder,attack,934,1032
4,resident,intruder,none,1033,1046
4,resident,intruder,investigation,1047,1077
4,resident,intruder,none,1078,1086
4,resident,intruder,investigation,1087,1146
4,resident,intruder,attack,1147,1161
4,resident,intruder,none,1162,1224
4,resident,intruder,investigation,1225,1394
4,resident,intruder,none,1395,1919
4,resident,intruder,investigation,1920,1968
4,resident,intruder,attack,1969,1978
4,resident,intruder,none,1979,1987
4,resident,intruder,investigation,1988,2071
4,resident,intruder,attack,2072,2093
4,resident,intruder,investigation,2094,2159
4,resident,intruder,none,2160,2883
4,resident,intruder,investigation,2884,2902
4,resident,intruder,none,2903,3533
4,resident,intruder,investigation,3534,3631
4,resident,intruder,none,3632,4044
4,resident,intruder,investigation,4045,4057
4,resident,intruder,none,4058,5341
4,resident,intruder,investigation,5342,5393
4,resident,intruder,none,5394,5467
4,resident,intruder,investigation,5468,5514
4,resident,intruder,none,5515,5640
5,intruder,resident,none,0,3028
5,resident,intruder,none,0,0
5,resident,intruder,attack,1,117
5,resident,intruder,none,118,142
5,resident,intruder,investigation,143,196
5,resident,intruder,none,197,387
5,resident,intruder,investigation,388,408
5,resident,intruder,attack,409,434
5,resident,intruder,investigation,435,491
5,resident,intruder,none,492,842
5,resident,intruder,investigation,843,881
5,resident,intruder,none,882,1007
5,resident,intruder,investigation,1008,1045
5,resident,intruder,attack,1046,1264
5,resident,intruder,investigation,1265,1331
5,resident,intruder,attack,1332,1453
5,resident,intruder,none,1454,1459
5,resident,intruder,investigation,1460,1514
5,resident,intruder,attack,1515,1543
5,resident,intruder,investigation,1544,1664
5,resident,intruder,attack,1665,1809
5,resident,intruder,investigation,1810,1884
5,resident,intruder,none,1885,2008
5,resident,intruder,investigation,2009,2032
5,resident,intruder,attack,2033,2130
5,resident,intruder,none,2131,2219
5,resident,intruder,investigation,2220,2233
5,resident,intruder,none,2234,2440
5,resident,intruder,investigation,2441,2500
5,resident,intruder,attack,2501,2642
5,resident,intruder,none,2643,2648
5,resident,intruder,investigation,2649,2680
5,resident,intruder,none,2681,2808
5,resident,intruder,investigation,2809,2828
5,resident,intruder,attack,2829,3028
6,intruder,resident,none,0,10024
6,resident,intruder,none,0,0
6,resident,intruder,investigation,1,65
6,resident,intruder,none,66,400
6,resident,intruder,investigation,401,721
6,resident,intruder,none,722,923
6,resident,intruder,investigation,924,943
6,resident,intruder,none,944,1416
6,resident,intruder,investigation,1417,1485
6,resident,intruder,none,1486,1714
6,resident,intruder,investigation,1715,1902
6,resident,intruder,none,1903,2169
6,resident,intruder,investigation,2170,2180
6,resident,intruder,none,2181,2658
6,resident,intruder,investigation,2659,2736
6,resident,intruder,none,2737,2967
6,resident,intruder,investigation,2968,2993
6,resident,intruder,none,2994,3175
6,resident,intruder,investigation,3176,3193
6,resident,intruder,none,3194,3277
6,resident,intruder,investigation,3278,3282
6,resident,intruder,none,3283,3291
6,resident,intruder,investigation,3292,3422
6,resident,intruder,none,3423,3574
6,resident,intruder,investigation,3575,3672
6,resident,intruder,attack,3673,3981
6,resident,intruder,none,3982,3984
6,resident,intruder,investigation,3985,4009
6,resident,intruder,attack,4010,4206
6,resident,intruder,none,4207,4246
6,resident,intruder,investigation,4247,4399
6,resident,intruder,none,4400,4492
6,resident,intruder,investigation,4493,4512
6,resident,intruder,none,4513,4824
6,resident,intruder,investigation,4825,4872
6,resident,intruder,none,4873,5184
6,resident,intruder,investigation,5185,5257
6,resident,intruder,none,5258,5398
6,resident,intruder,investigation,5399,5408
6,resident,intruder,none,5409,5626
6,resident,intruder,investigation,5627,5641
6,resident,intruder,none,5642,5776
6,resident,intruder,investigation,5777,5801
6,resident,intruder,none,5802,6200
6,resident,intruder,investigation,6201,6236
6,resident,intruder,none,6237,6300
6,resident,intruder,investigation,6301,6310
6,resident,intruder,none,6311,6522
6,resident,intruder,investigation,6523,6536
6,resident,intruder,none,6537,6776
6,resident,intruder,investigation,6777,6832
6,resident,intruder,none,6833,6866
6,resident,intruder,investigation,6867,6885
6,resident,intruder,none,6886,7362
6,resident,intruder,investigation,7363,7416
6,resident,intruder,none,7417,7725
6,resident,intruder,investigation,7726,7821
6,resident,intruder,attack,7822,8017
6,resident,intruder,none,8018,8158
6,resident,intruder,investigation,8159,8247
6,resident,intruder,none,8248,8516
6,resident,intruder,investigation,8517,8563
6,resident,intruder,none,8564,9225
6,resident,intruder,investigation,9226,9236
6,resident,intruder,none,9237,9284
6,resident,intruder,investigation,9285,9376
6,resident,intruder,none,9377,9417
6,resident,intruder,investigation,9418,9466
6,resident,intruder,attack,9467,9538
6,resident,intruder,investigation,9539,9579
6,resident,intruder,attack,9580,9623
6,resident,intruder,investigation,9624,9637
6,resident,intruder,attack,9638,9646
6,resident,intruder,none,9647,9656
6,resident,intruder,attack,9657,9679
6,resident,intruder,none,9680,9695
6,resident,intruder,attack,9696,9899
6,resident,intruder,none,9900,9900
6,resident,intruder,investigation,9901,9980
6,resident,intruder,attack,9981,10024
7,intruder,resident,none,0,11406
7,resident,intruder,none,0,0
7,resident,intruder,attack,1,4
7,resident,intruder,none,5,129
7,resident,intruder,investigation,130,136
7,resident,intruder,none,137,172
7,resident,intruder,investigation,173,211
7,resident,intruder,none,212,300
7,resident,intruder,investigation,301,336
7,resident,intruder,mount,337,414
7,resident,intruder,investigation,415,442
7,resident,intruder,mount,443,455
7,resident,intruder,investigation,456,465
7,resident,intruder,none,466,578
7,resident,intruder,investigation,579,588
7,resident,intruder,none,589,837
7,resident,intruder,investigation,838,1085
7,resident,intruder,none,1086,1174
7,resident,intruder,investigation,1175,1195
7,resident,intruder,none,1196,1258
7,resident,intruder,investigation,1259,1261
7,resident,intruder,none,1262,1283
7,resident,intruder,investigation,1284,1578
7,resident,intruder,none,1579,1804
7,resident,intruder,investigation,1805,1968
7,resident,intruder,none,1969,2031
7,resident,intruder,investigation,2032,2073
7,resident,intruder,none,2074,2230
7,resident,intruder,investigation,2231,2255
7,resident,intruder,none,2256,2388
7,resident,intruder,investigation,2389,2393
7,resident,intruder,none,2394,2862
7,resident,intruder,investigation,2863,2895
7,resident,intruder,none,2896,2977
7,resident,intruder,investigation,2978,2988
7,resident,intruder,none,2989,3494
7,resident,intruder,investigation,3495,3565
7,resident,intruder,none,3566,3689
7,resident,intruder,investigation,3690,3718
7,resident,intruder,none,3719,3853
7,resident,intruder,investigation,3854,3907
7,resident,intruder,mount,3908,3944
7,resident,intruder,investigation,3945,4037
7,resident,intruder,none,4038,4189
7,resident,intruder,investigation,4190,4499
7,resident,intruder,none,4500,4715
7,resident,intruder,investigation,4716,4920
7,resident,intruder,none,4921,5206
7,resident,intruder,investigation,5207,5341
7,resident,intruder,none,5342,5905
7,resident,intruder,investigation,5906,5917
7,resident,intruder,none,5918,5958
7,resident,intruder,investigation,5959,5975
7,resident,intruder,none,5976,6196
7,resident,intruder,investigation,6197,6209
7,resident,intruder,none,6210,6232
7,resident,intruder,investigation,6233,6246
7,resident,intruder,mount,6247,6264
7,resident,intruder,none,6265,6296
7,resident,intruder,mount,6297,6321
7,resident,intruder,none,6322,6488
7,resident,intruder,investigation,6489,6517
